contract_id,close,clear_price,volume,open_interest
i2605-C-540,255.8,252,2,49
i2605-C-560,232,232,0,9
i2605-C-580,212,212,0,7
i2605-C-600,192,192,0,3
i2605-C-620,172,172,0,11
i2605-C-630,162.1,162.1,0,0
i2605-C-640,152.1,152.1,0,7
i2605-C-650,142.1,142.1,0,2
i2605-C-660,132.1,132.1,0,18
i2605-C-670,122.1,122.1,0,0
i2605-C-680,112.1,112.1,0,3
i2605-C-690,102.1,102.1,0,1
i2605-C-700,92.2,92.2,0,51
i2605-C-710,78,82.3,7,367
i2605-C-720,70.8,72.4,5,331
i2605-C-730,58,62.8,2,311
i2605-C-740,52,53.4,6,1017
i2605-C-750,39,44.4,2,3183
i2605-C-760,28.2,36,24,1553
i2605-C-770,23.8,28.4,653,2263
i2605-C-780,16.6,21.8,1353,3252
i2605-C-790,10.9,16.3,3610,4344
i2605-C-800,6.4,11.9,8697,11259
i2605-C-810,3.5,8.4,4947,8328
i2605-C-820,1.8,5.9,4282,8095
i2605-C-830,1.1,4,8395,14171
i2605-C-840,0.7,2.7,2416,5228
i2605-C-850,0.5,1.7,12847,13176
i2605-C-860,0.3,1.1,2179,4656
i2605-C-870,0.3,0.7,1343,2326
i2605-C-880,0.4,0.4,922,5545
i2605-C-890,0.3,0.3,687,4021
i2605-C-900,0.3,0.1,11762,43339
i2605-C-910,0.3,0.1,603,3107
i2605-C-920,0.2,0.1,493,3190
i2605-C-930,0.1,0.1,220,2573
i2605-C-940,0.1,0.1,2961,14974
i2605-P-540,0.1,0.1,0,2419
i2605-P-560,0.1,0.1,0,2114
i2605-P-580,0.1,0.1,5,594
i2605-P-600,0.1,0.1,5,2759
i2605-P-620,0.1,0.1,25,732
i2605-P-630,0.1,0.1,90,1799
i2605-P-640,0.1,0.1,176,897
i2605-P-650,0.1,0.1,185,1644
i2605-P-660,0.1,0.1,1173,2148
i2605-P-670,0.1,0.1,187,725
i2605-P-680,0.1,0.1,764,1874
i2605-P-690,0.3,0.1,542,2194
i2605-P-700,0.4,0.2,4591,22609
i2605-P-710,0.4,0.3,1271,3162
i2605-P-720,0.4,0.5,1983,3891
i2605-P-730,0.7,0.8,4452,9539
i2605-P-740,1.3,1.4,3370,6547
i2605-P-750,2.1,2.4,28661,36452
i2605-P-760,3.1,4,5845,9476
i2605-P-770,5.2,6.4,8773,6526
i2605-P-780,7.8,9.8,19554,20405
i2605-P-790,12.3,14.3,10155,16993
i2605-P-800,17.8,19.9,8080,24623
i2605-P-810,24.1,26.4,1103,5494
i2605-P-820,33.9,33.9,553,2396
i2605-P-830,43.4,42,137,1738
i2605-P-840,52.4,50.7,37,1033
i2605-P-850,62.4,59.8,120,1641
i2605-P-860,72.6,69.1,20,1585
i2605-P-870,75.8,78.7,2,234
i2605-P-880,93,88.5,2,25
i2605-P-890,98.3,98.3,0,14
i2605-P-900,108.2,108.2,0,35
i2605-P-910,118.2,118.2,0,11
i2605-P-920,128,128,0,3
i2605-P-930,138,138,0,36
i2605-P-940,148,148,0,37
i2606-C-540,247.7,247.7,0,0
i2606-C-560,227.8,227.8,0,0
i2606-C-580,207.9,207.9,0,0
i2606-C-600,188,188,0,0
i2606-C-620,168.2,168.2,0,0
i2606-C-630,158.2,158.2,0,0
i2606-C-640,148.3,148.3,0,0
i2606-C-650,138.5,138.5,0,0
i2606-C-660,128.6,128.6,0,0
i2606-C-670,118.8,118.8,0,0
i2606-C-680,109,109,0,2
i2606-C-690,99.3,99.3,0,0
i2606-C-700,89.8,89.8,0,7
i2606-C-710,80.4,80.4,0,0
i2606-C-720,71.3,71.3,0,1
i2606-C-730,62.5,62.5,0,0
i2606-C-740,62,54.2,2,46
i2606-C-750,46.4,46.4,0,51
i2606-C-760,36.4,39.3,12,108
i2606-C-770,29.2,32.9,42,138
i2606-C-780,23.2,27.3,19,161
i2606-C-790,17.9,22.4,50,398
i2606-C-800,14.2,18.2,340,872
i2606-C-810,11.2,14.8,156,1223
i2606-C-820,8.9,11.9,39,478
i2606-C-830,6.5,9.5,385,733
i2606-C-840,5.4,7.6,238,518
i2606-C-850,4.2,6.1,411,907
i2606-C-860,3.5,4.8,118,459
i2606-C-870,2.8,3.8,92,209
i2606-C-880,2.1,3,440,1117
i2606-C-890,1.8,2.4,73,165
i2606-C-900,1.6,1.9,123,345
i2606-C-910,1.4,1.5,58,232
i2606-C-920,1.2,1.2,112,272
i2606-C-930,1.2,1,616,1364
i2606-P-540,0.5,0.4,145,313
i2606-P-560,0.5,0.5,33,180
i2606-P-580,0.4,0.6,22,314
i2606-P-600,0.5,0.7,10,151
i2606-P-620,0.8,0.8,40,117
i2606-P-630,0.9,0.9,0,68
i2606-P-640,1,1,0,118
i2606-P-650,1,1.1,156,392
i2606-P-660,1.3,1.3,258,364
i2606-P-670,1.7,1.4,200,269
i2606-P-680,1.7,1.7,486,545
i2606-P-690,2.4,2,30,76
i2606-P-700,3.1,2.4,926,1843
i2606-P-710,3.7,3,3,152
i2606-P-720,4.4,3.9,160,283
i2606-P-730,5.6,5.1,286,572
i2606-P-740,7.4,6.8,214,385
i2606-P-750,9.3,9,622,681
i2606-P-760,12.5,11.8,416,698
i2606-P-770,16,15.4,578,1103
i2606-P-780,19.6,19.8,860,1510
i2606-P-790,24.5,24.9,393,1060
i2606-P-800,31.4,30.7,150,1415
i2606-P-810,39.1,37.2,13,321
i2606-P-820,46.4,44.3,11,163
i2606-P-830,54.7,52,1,192
i2606-P-840,60.1,60.1,0,91
i2606-P-850,68.5,68.5,0,132
i2606-P-860,77.3,77.3,0,25
i2606-P-870,86.3,86.3,0,0
i2606-P-880,95.5,95.5,0,27
i2606-P-890,104.8,104.8,0,0
i2606-P-900,114.3,114.3,0,0
i2606-P-910,123.9,123.9,0,0
i2606-P-920,133.6,133.6,0,0
i2606-P-930,143.4,143.4,0,0
i2607-C-600,179.1,179.1,0,0
i2607-C-620,159.5,159.5,0,0
i2607-C-630,149.8,149.8,0,0
i2607-C-640,140.1,140.1,0,1
i2607-C-650,130.5,130.5,0,0
i2607-C-660,121,121,0,0
i2607-C-670,111.6,111.6,0,0
i2607-C-680,102.3,102.3,0,1
i2607-C-690,93.1,93.1,0,0
i2607-C-700,84,84,0,0
i2607-C-710,75.2,75.2,0,0
i2607-C-720,66.5,66.5,0,1
i2607-C-730,58.2,58.2,0,0
i2607-C-740,50.3,50.3,0,8
i2607-C-750,47.7,42.9,2,28
i2607-C-760,36,36.3,68,66
i2607-C-770,30.7,30.6,102,132
i2607-C-780,25.5,26,21,212
i2607-C-790,21.4,22.3,3,163
i2607-C-800,17.1,19.1,56,265
i2607-C-810,15.1,16.5,18,123
i2607-C-820,14.2,14.3,16,163
i2607-C-830,10.6,12.5,47,152
i2607-C-840,11.3,10.9,109,119
i2607-C-850,8,9.5,95,350
i2607-C-860,7.8,8.3,115,102
i2607-C-870,6.2,7.3,41,96
i2607-C-880,6,6.4,30,118
i2607-C-890,5,5.6,73,205
i2607-C-900,5.5,5,22,182
i2607-C-910,4.2,4.4,32,91
i2607-C-920,3.8,3.9,51,176
i2607-C-940,2.5,3.1,126,472
i2607-P-600,0.9,0.9,0,14
i2607-P-620,1.3,1.3,0,27
i2607-P-630,1.6,1.6,0,0
i2607-P-640,2.1,1.9,60,221
i2607-P-650,2.4,2.3,40,151
i2607-P-660,2.8,2.8,2,148
i2607-P-670,3.3,3.3,0,115
i2607-P-680,4,4,0,104
i2607-P-690,4.6,4.8,22,97
i2607-P-700,5.8,5.7,242,505
i2607-P-710,7,6.8,54,134
i2607-P-720,8.1,8.2,361,129
i2607-P-730,10,9.8,85,156
i2607-P-740,12.3,11.9,56,175
i2607-P-750,16.3,14.4,88,262
i2607-P-760,18.9,17.8,89,332
i2607-P-770,23.4,22.2,894,1412
i2607-P-780,28.6,27.5,16,1297
i2607-P-790,34.1,33.7,40,250
i2607-P-800,42.3,40.6,78,255
i2607-P-810,46.3,48,4,37
i2607-P-820,55.1,55.8,7,58
i2607-P-830,66.1,63.9,34,110
i2607-P-840,72.2,72.2,0,77
i2607-P-850,80.8,80.8,0,42
i2607-P-860,89.7,89.7,0,0
i2607-P-870,98.6,98.6,0,0
i2607-P-880,107.7,107.7,0,15
i2607-P-890,116.9,116.9,0,0
i2607-P-900,126.3,126.3,0,0
i2607-P-910,135.7,135.7,0,0
i2607-P-920,145.2,145.2,0,0
i2607-P-940,164.3,164.3,0,40
i2608-C-620,155.5,155.5,0,0
i2608-C-630,146,146,0,0
i2608-C-640,136.6,136.6,0,0
i2608-C-650,127.3,127.3,0,0
i2608-C-660,118,118,0,0
i2608-C-670,108.9,108.9,0,0
i2608-C-680,99.9,99.9,0,0
i2608-C-690,91,91,0,0
i2608-C-700,82.3,82.3,0,0
i2608-C-710,73.8,73.8,0,0
i2608-C-720,65.6,65.6,0,0
i2608-C-730,57.7,57.7,0,0
i2608-C-740,50.2,50.2,0,1
i2608-C-750,43.4,43.4,0,2
i2608-C-760,37.6,37.6,0,1
i2608-C-770,32.7,32.7,0,2
i2608-C-780,28.8,28.8,0,1
i2608-C-790,25.5,25.5,0,2
i2608-C-800,22.7,22.7,0,15
i2608-C-810,20.3,20.3,0,5
i2608-C-820,18.3,18.3,0,18
i2608-C-830,16.5,16.5,0,3
i2608-C-840,14.9,14.9,0,15
i2608-C-850,13.5,13.5,0,3
i2608-C-860,12.2,12.2,0,22
i2608-C-870,11.1,11.1,0,9
i2608-C-880,10.1,10.1,0,50
i2608-C-890,9.2,9.2,0,1
i2608-C-900,8.4,8.4,0,19
i2608-C-910,7.7,7.7,0,47
i2608-C-920,7,7,0,65
i2608-P-620,3.4,3.4,0,28
i2608-P-630,3.9,3.9,0,0
i2608-P-640,4.5,4.5,0,54
i2608-P-650,5.1,5.1,0,1
i2608-P-660,5.9,5.9,0,45
i2608-P-670,6.7,6.7,0,4
i2608-P-680,7.7,7.7,0,26
i2608-P-690,8.8,8.8,0,2
i2608-P-700,10.1,10.1,0,14
i2608-P-710,11.6,11.6,0,3
i2608-P-720,13.3,13.3,0,17
i2608-P-730,15.3,15.3,0,3
i2608-P-740,17.8,17.8,0,11
i2608-P-750,21,21,0,0
i2608-P-760,25.1,25.1,0,1
i2608-P-770,30.2,30.2,0,3
i2608-P-780,36.3,36.3,0,1
i2608-P-790,43,43,0,3
i2608-P-800,50.2,50.2,0,0
i2608-P-810,57.7,57.7,0,3
i2608-P-820,65.6,65.6,0,1
i2608-P-830,73.8,73.8,0,2
i2608-P-840,82.2,82.2,0,1
i2608-P-850,90.7,90.7,0,2
i2608-P-860,99.4,99.4,0,0
i2608-P-870,108.3,108.3,0,2
i2608-P-880,117.3,117.3,0,0
i2608-P-890,126.4,126.4,0,0
i2608-P-900,135.5,135.5,0,0
i2608-P-910,144.8,144.8,0,0
i2608-P-920,154.1,154.1,0,0
i2609-C-600,175.1,172.8,10,1
i2609-C-620,154.1,154.1,0,0
i2609-C-640,135.8,135.8,0,1
i2609-C-660,117.8,117.8,0,0
i2609-C-670,109.1,109.1,0,0
i2609-C-680,100.5,100.5,0,9
i2609-C-690,92,92,0,0
i2609-C-700,83.7,83.7,0,3
i2609-C-710,75.7,75.7,0,0
i2609-C-720,68.4,68.4,0,4
i2609-C-730,62,62,0,0
i2609-C-740,56,56,0,22
i2609-C-750,50.3,50.3,0,0
i2609-C-760,40.8,45.1,12,60
i2609-C-770,40.2,40.2,0,0
i2609-C-780,32.8,35.8,104,383
i2609-C-790,31.7,31.7,0,0
i2609-C-800,25.5,28,81,748
i2609-C-810,35.4,24.6,1,1
i2609-C-820,19,21.6,35,163
i2609-C-830,18.9,18.9,0,2
i2609-C-840,15,16.4,2,129
i2609-C-850,10.6,14.2,51,52
i2609-C-860,10.9,12.3,10,143
i2609-C-870,10,10.6,1,9
i2609-C-880,8.8,9.1,52,793
i2609-C-890,7.8,7.8,0,12
i2609-C-900,7.1,6.7,12,432
i2609-C-920,5.4,4.8,234,1922
i2609-P-600,4.3,3.9,154,1502
i2609-P-620,5.2,5.2,0,155
i2609-P-640,6.8,6.8,0,76
i2609-P-660,9,8.8,18,120
i2609-P-670,11.4,10,237,236
i2609-P-680,11.2,11.3,5,466
i2609-P-690,11.6,12.8,3,34
i2609-P-700,16.1,14.5,361,4454
i2609-P-710,15.7,16.4,1,7
i2609-P-720,19.2,19.1,3,977
i2609-P-730,22.7,22.7,0,28
i2609-P-740,26.4,26.6,8,1047
i2609-P-750,30.9,30.9,0,14
i2609-P-760,35.3,35.6,40,308
i2609-P-770,40.6,40.8,32,33
i2609-P-780,45,46.3,6,167
i2609-P-790,50,52.1,10,21
i2609-P-800,58,58.4,10,247
i2609-P-810,65,65,0,0
i2609-P-820,71.9,71.9,0,28
i2609-P-830,79.1,79.1,0,0
i2609-P-840,86.6,86.6,0,2
i2609-P-850,94.4,94.4,0,0
i2609-P-860,102.5,102.5,0,16
i2609-P-870,110.7,110.7,0,0
i2609-P-880,119.2,119.2,0,0
i2609-P-890,127.9,127.9,0,0
i2609-P-900,136.7,136.7,0,0
i2609-P-920,154.8,154.8,0,15
i2610-C-600,169.4,169.4,0,0
i2610-C-620,151.1,151.1,0,0
i2610-C-640,133.1,133.1,0,0
i2610-C-660,115.6,115.6,0,0
i2610-C-680,98.7,98.7,0,0
i2610-C-700,82.4,82.4,0,0
i2610-C-720,68.2,68.2,0,0
i2610-C-740,56.5,56.5,0,3
i2610-C-760,46.2,46.2,0,6
i2610-C-780,37.4,37.4,0,4
i2610-C-800,29.9,29.9,0,25
i2610-C-820,23.6,23.6,0,9
i2610-C-840,18.5,18.5,0,17
i2610-C-860,14.3,14.3,0,21
i2610-C-880,11,11,0,6
i2610-C-900,8.3,8.3,0,15
i2610-C-920,6.3,6.3,0,10
i2610-P-600,6.1,6.1,0,1
i2610-P-620,7.7,7.7,0,10
i2610-P-640,9.7,9.7,0,19
i2610-P-660,12.1,12.1,0,11
i2610-P-680,15.1,15.1,0,4
i2610-P-700,18.7,18.7,0,12
i2610-P-720,24.4,24.4,0,12
i2610-P-740,32.6,32.6,0,8
i2610-P-760,42.3,42.3,0,1
i2610-P-780,53.3,53.3,0,0
i2610-P-800,65.7,65.7,0,2
i2610-P-820,79.4,79.4,0,1
i2610-P-840,94.1,94.1,0,0
i2610-P-860,109.9,109.9,0,0
i2610-P-880,126.4,126.4,0,0
i2610-P-900,143.7,143.7,0,0
i2610-P-920,161.6,161.6,0,0
i2611-C-600,169.1,169.1,0,0
i2611-C-620,151.1,151.1,0,0
i2611-C-640,133.5,133.5,0,0
i2611-C-660,116.4,116.4,0,0
i2611-C-680,99.8,99.8,0,1
i2611-C-700,83.8,83.8,0,0
i2611-C-720,70.5,70.5,0,0
i2611-C-740,59.3,59.3,0,0
i2611-C-760,49.4,49.4,0,2
i2611-C-780,40.8,40.8,0,14
i2611-C-800,33.4,33.4,0,73
i2611-C-820,27.1,27.1,0,20
i2611-C-840,21.8,21.8,0,35
i2611-C-860,17.4,17.4,0,27
i2611-C-880,13.8,13.8,0,52
i2611-C-900,10.9,10.9,0,18
i2611-P-600,9,9,0,1
i2611-P-620,10.9,10.9,0,11
i2611-P-640,13.3,13.3,0,16
i2611-P-660,16,16,0,13
i2611-P-680,19.3,19.3,0,13
i2611-P-700,23.2,23.2,0,30
i2611-P-720,24.9,29.7,2,99
i2611-P-740,38.4,38.4,0,62
i2611-P-760,48.4,48.4,0,23
i2611-P-780,59.7,59.7,0,100
i2611-P-800,72.1,72.1,0,2
i2611-P-820,85.7,85.7,0,0
i2611-P-840,100.3,100.3,0,0
i2611-P-860,115.8,115.8,0,0
i2611-P-880,132.1,132.1,0,0
i2611-P-900,149.1,149.1,0,0
i2612-C-600,167.1,167.1,0,0
i2612-C-620,149.4,149.4,0,0
i2612-C-640,132.1,132.1,0,0
i2612-C-660,115.2,115.2,0,0
i2612-C-680,98.8,98.8,0,0
i2612-C-700,83.1,83.1,0,0
i2612-C-720,70.6,70.6,0,0
i2612-C-740,59.8,59.8,0,0
i2612-C-760,50.2,50.2,0,0
i2612-C-780,41.9,41.9,0,3
i2612-C-800,34.7,34.7,0,4
i2612-C-820,28.5,28.5,0,10
i2612-C-840,23.2,23.2,0,10
i2612-C-860,18.9,18.9,0,17
i2612-C-880,15.2,15.2,0,17
i2612-C-900,12.2,12.2,0,25
i2612-P-600,11.1,11.1,0,4
i2612-P-620,13.3,13.3,0,7
i2612-P-640,15.8,15.8,0,10
i2612-P-660,18.8,18.8,0,15
i2612-P-680,22.4,22.4,0,7
i2612-P-700,26.5,26.5,0,1
i2612-P-720,33.9,33.9,0,28
i2612-P-740,42.9,42.9,0,136
i2612-P-760,53.2,53.2,0,110
i2612-P-780,64.7,64.7,0,106
i2612-P-800,77.4,77.4,0,1
i2612-P-820,91.1,91.1,0,0
i2612-P-840,105.7,105.7,0,0
i2612-P-860,121.2,121.2,0,0
i2612-P-880,137.4,137.4,0,0
i2612-P-900,154.3,154.3,0,0
i2701-C-600,163.1,163.1,0,0
i2701-C-620,145.7,145.7,0,0
i2701-C-640,128.7,128.7,0,1
i2701-C-660,112.1,112.1,0,4
i2701-C-680,96,96,0,0
i2701-C-700,81,81,0,1
i2701-C-720,69.5,69.5,0,1
i2701-C-740,59.2,59.2,0,0
i2701-C-760,50.1,50.1,0,2
i2701-C-780,42.2,42.2,0,2
i2701-C-800,35.2,35.2,0,2
i2701-C-820,29.3,29.3,0,0
i2701-C-840,24.2,24.2,0,0
i2701-C-860,19.9,19.9,0,4
i2701-C-880,16.2,16.2,0,11
i2701-P-600,13.7,13.7,0,23
i2701-P-620,16.2,16.2,0,0
i2701-P-640,19,19,0,9
i2701-P-660,22.3,22.3,0,4
i2701-P-680,26,26,0,3
i2701-P-700,21.8,30.9,1,13
i2701-P-720,29,39.3,2,60
i2701-P-740,38.2,48.8,12,192
i2701-P-760,59.6,59.6,0,140
i2701-P-780,71.4,71.4,0,4
i2701-P-800,84.4,84.4,0,0
i2701-P-820,98.2,98.2,0,0
i2701-P-840,113,113,0,0
i2701-P-860,128.5,128.5,0,0
i2701-P-880,144.8,144.8,0,0
i2702-C-600,161.9,161.9,0,0
i2702-C-620,144.7,144.7,0,0
i2702-C-640,127.9,127.9,0,0
i2702-C-660,111.5,111.5,0,0
i2702-C-680,95.6,95.6,0,0
i2702-C-700,81.4,81.4,0,0
i2702-C-720,70.4,70.4,0,2
i2702-C-740,60.5,60.5,0,3
i2702-C-760,51.7,51.7,0,4
i2702-C-780,39.1,43.9,1,2
i2702-C-800,37.1,37.1,0,1
i2702-C-820,31.2,31.2,0,1
i2702-C-840,26.1,26.1,0,0
i2702-C-860,21.8,21.8,0,0
i2702-C-880,18.1,18.1,0,1
i2702-P-600,16.6,16.6,0,0
i2702-P-620,19.3,19.3,0,0
i2702-P-640,22.3,22.3,0,1
i2702-P-660,25.8,25.8,0,2
i2702-P-680,29.7,29.7,0,0
i2702-P-700,35.3,35.3,0,1
i2702-P-720,44.1,44.1,0,0
i2702-P-740,54,54,0,2
i2702-P-760,65,65,0,1
i2702-P-780,77.1,77.1,0,2
i2702-P-800,90.1,90.1,0,4
i2702-P-820,104.1,104.1,0,1
i2702-P-840,118.8,118.8,0,0
i2702-P-860,134.3,134.3,0,0
i2702-P-880,150.5,150.5,0,0
i2703-C-640,127.7,127.7,0,0
i2703-C-660,111.5,111.5,0,0
i2703-C-680,95.8,95.8,0,1
i2703-C-700,82.4,82.4,0,2
i2703-C-720,71.7,71.7,0,0
i2703-C-740,62.1,62.1,0,0
i2703-C-760,53.5,53.5,0,0
i2703-C-780,45.9,45.9,0,0
i2703-C-800,39.2,39.2,0,2
i2703-C-820,33.3,33.3,0,0
i2703-C-840,28.3,28.3,0,0
i2703-C-860,23.9,23.9,0,0
i2703-C-880,20.1,20.1,0,0
i2703-P-640,25.7,25.7,0,1
i2703-P-660,29.3,29.3,0,0
i2703-P-680,33.4,33.4,0,0
i2703-P-700,39.8,39.8,0,4
i2703-P-720,48.9,48.9,0,2
i2703-P-740,59.1,59.1,0,1
i2703-P-760,70.3,70.3,0,0
i2703-P-780,82.5,82.5,0,0
i2703-P-800,95.6,95.6,0,0
i2703-P-820,109.6,109.6,0,0
i2703-P-840,124.3,124.3,0,0
i2703-P-860,139.7,139.7,0,0
i2703-P-880,155.8,155.8,0,0
,,,184328,405116
